year,filename,bytes,sha256,downloaded_at
1984,iceage_nh_12.5km_19840101_19841231_v4.1.nc,3880040,53a45fbcffb9d4c4daae063a41a5962d00a8253cee6a9c42467dbc299ff82b05,2026-07-30T14:20:46.048033+00:00
1985,iceage_nh_12.5km_19850101_19851231_v4.1.nc,3925405,cf690f1a902645f716dcfc30b4b2411641a94613e877435904aba9472f90432c,2026-07-30T14:25:15.799989+00:00
1986,iceage_nh_12.5km_19860101_19861231_v4.1.nc,3988718,29ecf48451035b193e37fc80de44b42dea0c1ff364ad26beaa00d5d3ed15f373,2026-07-30T14:25:21.931990+00:00
1987,iceage_nh_12.5km_19870101_19871231_v4.1.nc,4062624,894fbaf6c4b790f652217b006649465c0431065bbf90b78662f49e079c93466c,2026-07-30T14:25:29.011991+00:00
1988,iceage_nh_12.5km_19880101_19881231_v4.1.nc,4128949,ad24fbad1ec5c2a2bddf8e2678ef69e648e31e747d50423b652d8db780841b98,2026-07-30T14:25:37.915992+00:00
1989,iceage_nh_12.5km_19890101_19891231_v4.1.nc,4050029,8ae713f245e0b014704ebd9525b6d57a1bde272c3849288681d782e8296f488f,2026-07-30T14:25:44.467992+00:00
1990,iceage_nh_12.5km_19900101_19901231_v4.1.nc,3965717,33d9012f10e12f4fea5e6e40b2d933fcb8468c598270d8a88316e9050003e9b8,2026-07-30T14:25:55.815981+00:00
1991,iceage_nh_12.5km_19910101_19911231_v4.1.nc,3945724,9e3da4e6955b16a5cfabf9c1b129915f6d51ab5d121599ce96bcbeb0814dd2fe,2026-07-30T14:26:02.967974+00:00
1992,iceage_nh_12.5km_19920101_19921231_v4.1.nc,3957235,d36e5ac7e6eb1fe609aab0e8de9a4b810fa24042f2bb02377213218560379c00,2026-07-30T14:26:09.803973+00:00
1993,iceage_nh_12.5km_19930101_19931231_v4.1.nc,3988673,1f8a28670ea64b0fe94a961d5d37f4830c8465b058f303dc80f283a657baeea1,2026-07-30T14:26:18.567972+00:00
1994,iceage_nh_12.5km_19940101_19941231_v4.1.nc,4002656,362e6c98be2c995f2a6e1cf16d4e4d93e0b16f8e1cdd82707d1eaa2e4cf84ddb,2026-07-30T14:26:25.119972+00:00
1995,iceage_nh_12.5km_19950101_19951231_v4.1.nc,3986770,fe9859a42f02b0a1078d44bad651321503e5befa7742c5a267466574c30e8add,2026-07-30T14:26:31.159971+00:00
1996,iceage_nh_12.5km_19960101_19961231_v4.1.nc,3929887,e2ba8a41a617f3824b789e20d281887c6887eaa10c11c3b96e1e057f3d054c56,2026-07-30T14:26:35.879970+00:00
1997,iceage_nh_12.5km_19970101_19971231_v4.1.nc,3970542,ecaebba90df33283159a974aa20cac39c7bd6f799e0a4442ec730bb61b575393,2026-07-30T14:26:42.379970+00:00
1998,iceage_nh_12.5km_19980101_19981231_v4.1.nc,3994846,492b8a05532649a11d217a19a2e7a26e164bc54f706d3a0d6f21212480a1065b,2026-07-30T14:26:49.795969+00:00
