year,week,ice_cells,first_year_cells,multiyear_cells,fifth_year_plus_cells,ice_area_km2,multiyear_fraction
2024,1,61514,43390,18124,1134,9663920.51,0.294632
2024,2,63211,45611,17600,1133,9930521.172,0.278433
2024,3,63529,46181,17348,1149,9980479.34,0.273072
2024,4,64189,47240,16949,1121,10084166.102,0.264048
2024,5,64656,48241,16415,1105,10157532.342,0.253882
2024,6,65304,48984,16320,1104,10259333.891,0.249908
2024,7,66330,50221,16109,1119,10420519.677,0.242861
2024,8,67592,51709,15883,1107,10618781.336,0.234983
2024,9,67550,51914,15636,1081,10612183.088,0.231473
2024,10,68022,52491,15531,1095,10686334.833,0.228323
2024,11,68951,53581,15370,1103,10832281.807,0.222912
2024,12,68094,53070,15024,1104,10697646.117,0.220636
2024,13,68584,53905,14679,1097,10774625.683,0.21403
2024,14,66358,51740,14618,1086,10424918.51,0.22029
2024,15,65184,50589,14595,1102,10240481.753,0.223905
2024,16,64140,49816,14324,1094,10076468.146,0.223324
2024,17,62736,48522,14214,1108,9855898.123,0.226568
2024,18,62096,47955,14141,1089,9755353.383,0.227728
2024,19,61260,47229,14031,1087,9624016.817,0.22904
2024,20,59393,45600,13793,1085,9330708.958,0.232233
2024,21,58019,44523,13496,1055,9114851.97,0.232613
2024,22,57054,43662,13392,1066,8963249.354,0.234725
2024,23,54845,41828,13017,1052,8616212.901,0.237342
2024,24,52390,39570,12820,1014,8230529.563,0.244703
2024,25,50908,38168,12740,1011,7997705.65,0.250255
2024,26,48653,36157,12496,986,7643442.543,0.256839
2024,27,46076,33696,12380,1000,7238592.864,0.268687
2024,28,41869,29653,12216,972,6577668.301,0.291767
2024,29,38114,26199,11915,953,5987753.46,0.312615
2024,30,34400,22898,11502,935,5404279.766,0.33436
2024,31,32320,21104,11216,942,5077509.362,0.34703
2024,32,29813,19206,10607,914,4683656.764,0.355784
2024,33,27675,17505,10170,901,4347774.492,0.36748
2024,34,25332,15636,9696,828,3979686.484,0.382757
2024,35,23590,14089,9501,822,3706016.27,0.402755
2024,36,23002,13777,9225,774,3613640.79,0.401052
2024,37,23153,1184,21969,1591,3637363.065,0.948862
2024,38,23567,2055,21512,1574,3702402.943,0.912802
2024,39,24528,3596,20932,1580,3853377.154,0.853392
2024,40,25464,4895,20569,1618,4000423.836,0.807768
2024,41,27238,6930,20308,1609,4279121.287,0.745576
2024,42,30201,9928,20273,1613,4744612.012,0.671269
2024,43,36788,16642,20146,1637,5779437.327,0.547624
2024,44,39126,19518,19608,1602,6146739.83,0.50115
2024,45,42879,23569,19310,1561,6736340.468,0.450337
2024,46,44931,25807,19124,1601,7058712.04,0.42563
2024,47,47338,28213,19125,1533,7436854.523,0.404009
2024,48,49264,30341,18923,1465,7739431.349,0.384114
2024,49,51246,32408,18838,1455,8050805.84,0.367599
2024,50,52447,33945,18502,1464,8239484.329,0.352775
2024,51,54739,36543,18196,1435,8599560.178,0.332414
2024,52,56348,38495,17853,1439,8852335.938,0.316835
