year,week,ice_cells,first_year_cells,multiyear_cells,fifth_year_plus_cells,ice_area_km2,multiyear_fraction
1984,11,67909,37758,30151,15054,10668582.403,0.443991
1985,11,68607,36912,31695,16334,10778239.01,0.461979
1986,11,69750,37078,32672,17977,10957805.631,0.468416
1987,11,67575,35139,32436,18315,10616110.617,0.48
1988,11,73930,42524,31406,19528,11614488.463,0.424807
1989,11,70875,42567,28308,16892,11134544.432,0.399407
1990,11,74464,46180,28284,14293,11698380.48,0.379835
1991,11,70712,43472,27240,12331,11108936.943,0.385225
1992,11,71197,44879,26318,11390,11185131.004,0.36965
1993,11,73296,44703,28593,11773,11514886.33,0.390103
1994,11,70827,43682,27145,11648,11127003.576,0.383258
1995,11,68991,41180,27811,10836,10838565.854,0.403111
1996,11,69321,44680,24641,10304,10890409.235,0.355462
1997,11,71704,42367,29337,9862,11264781.29,0.40914
1998,11,72181,44358,27823,10910,11339718.541,0.385462
1999,11,69771,41124,28647,10905,10961104.755,0.410586
2000,11,70171,45511,24660,12142,11023945.218,0.351427
2001,11,72159,46538,25621,11215,11336262.316,0.355063
2002,11,71784,44855,26929,10552,11277349.382,0.375139
2003,11,70910,44438,26472,11042,11140042.972,0.373318
2004,11,68099,42248,25851,11544,10698431.622,0.379609
2005,11,66822,41665,25157,10666,10497813.446,0.376478
2006,11,64911,42489,22422,8798,10197593.137,0.345427
2007,11,66278,44322,21956,7847,10412350.417,0.331271
2008,11,70152,55457,14695,5060,11020960.296,0.209474
2009,11,67572,51782,15790,4953,10615639.313,0.233677
2010,11,69519,50936,18583,4067,10921515.264,0.267308
2011,11,66757,48627,18130,2082,10487601.871,0.271582
2012,11,69899,53871,16028,1511,10981213.703,0.229302
2013,11,69151,55373,13778,1517,10863702.039,0.199245
2014,11,67848,49437,18411,1781,10658999.232,0.271357
2015,11,65250,47838,17412,2565,10250850.429,0.266851
2016,11,65909,49707,16202,2152,10354380.091,0.245824
2017,11,65073,50537,14536,1937,10223043.524,0.22338
2018,11,65393,47993,17400,977,10273315.894,0.266084
2019,11,67114,52039,15075,609,10543686.984,0.224618
2020,11,68341,52758,15583,2361,10736450.102,0.228018
2021,11,67370,53574,13796,1723,10583904.88,0.20478
2022,11,65747,48553,17194,1435,10328929.704,0.261518
2023,11,65443,48767,16676,1491,10281170.952,0.254817
2024,11,68951,53581,15370,1103,10832281.807,0.222912
